ID,channel,activities_22,activities_21,activities_20,latest_activity,latest_hqa,HQAs_22,HQAs_21,HQAs_20,"('aum', 'Active Equity')","('aum', 'Active FI')","('aum', 'Alts')","('aum', 'Bond ETF')","('aum', 'Core Equity')","('aum', 'Factors')","('aum', 'MAS')","('aum', 'Market Driven/Precision')","('aum', 'Megatrends')","('aum', 'Models')","('aum', 'Sustainable')",mkt_emails_clicked 2020,mkt_emails_opened 2020,mkt_emails_sent 2020,mkt_emails_clicked 2021,mkt_emails_opened 2021,mkt_emails_sent 2021,mkt_emails_clicked 2022,mkt_emails_opened 2022,mkt_emails_sent 2022,"('events_attended', 2020)","('events_attended', 2021)","('events_attended', 2022)","('webinars_attended', 2020)","('webinars_attended', 2021)","('webinars_attended', 2022)","('web_visits', 2020)","('web_visits', 2021)","('web_visits', 2022)","('advisor_center_completes', 2020)","('advisor_center_completes', 2021)","('advisor_center_completes', 2022)","('total_ac_portfolios', 2020)","('total_ac_portfolios', 2021)","('total_ac_portfolios', 2022)"
69,uswa-emerging-wealth,15,15,5,7/1/22,4/16/20,0,0,3,151697.15,15721.155,1769.47,0,0,0,977343.755,0,0,0,0,3,76,97,0,36,44,0,1,11,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
70,uswa-metro-wealth,20,9,3,6/28/22,8/25/21,0,1,3,231908.47,194273.345,9120.685,231592,91803,2871,58313.04,13013015,4953,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,uswa-core-wealth,10,14,4,6/9/22,6/20/19,0,0,0,0,0,0,125505.12,66182.01,20372.67,9878.085,95847.69,0,0,12091.72,0,5,82,0,13,51,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,uswa-core-wealth,6,34,11,5/2/22,3/9/22,1,4,5,380295.84,76533.11,0,267170,49384,4057,15427.23,502941,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
73,uswa-emerging-wealth,0,9,0,10/5/21,3/17/21,0,2,0,7401.06,21073.87,0,3151365.85,6260.5,0,0,10180.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,uswa-core-wealth,11,8,15,6/6/22,3/3/21,0,1,0,201065.59,887152.5,0,293445,225260,50261,132220.61,406262,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,14,0,0,2,0,1,1,0
75,uswa-core-wealth,24,22,8,7/5/22,7/7/21,0,2,2,87225.4,272352.61,0,141315,240530,0,16038.42,353419,0,0,5630,0,13,51,0,23,57,0,21,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,uswa-metro-wealth,1,11,5,6/23/22,9/14/21,0,1,0,117899.41,1506244.459,72075.21,1024068,1785752,375724,79946.198,4264773,0,0,67133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,uswa-core-wealth,18,28,1,6/13/22,10/18/19,0,0,0,426670.99,207595.56,0,0,30942,0,8521.27,357052,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,uswa-core-wealth,31,18,24,6/29/22,6/6/22,5,6,12,889.465,74183.66,3216873.442,0,0,0,20349,0,0,1186136,1007.61,6,131,168,0,3,81,1,4,8,0,0,0,0,0,0,60,181,62,2,3,3,19,16,0
79,uswa-core-wealth,22,28,6,7/5/22,10/4/21,0,4,1,171594.245,261244.175,2356.14,221510,691239,8006,36259.05,883466,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,uswa-emerging-wealth,10,9,0,7/6/22,6/7/22,1,0,0,0,926498.12,208140.41,218739.38,6978904.24,609130.28,31136.49,11109785.24,0,0,0,0,0,0,0,0,21,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,uswa-core-wealth,4,9,7,5/2/22,9/29/21,0,1,1,0,877667.0653,26543.995,861432,3738243,30586,0,597006,15856,0,29751,0,2,46,0,1,46,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,uswa-metro-wealth,7,11,37,6/6/22,5/24/22,3,5,13,3372.81,961.83,593730,0,205366,1273,0,33630,0,0,0,0,0,18,0,0,17,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,uswa-emerging-wealth,14,17,0,7/1/22,10/28/21,0,1,0,2331583.67,60987.58,0,584469.4,50904,89733.59,82706.89,453413.61,5289.71,0,8560.24,0,0,1,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,uswa-core-wealth,21,11,15,7/5/22,3/31/20,0,0,1,9555.65,0,0,61282,369251,20339,0,447828,3244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,uswa-emerging-wealth,21,7,2,7/1/22,11/6/15,0,0,0,79118.88,5120.28,13088.48,1204301.33,2525098.9,123651.12,129126.72,983651.79,0,0,0,0,0,2,0,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,uswa-core-wealth,8,32,10,5/3/22,2/15/22,2,5,2,8671.13,617382.77,0,385495,1441146,2878437,3354.76,244172,41670,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,48,0,0,4,0,0,3,0
87,uswa-emerging-wealth,8,13,18,6/13/22,3/1/21,0,2,4,0,0,0,4944378.62,1694816.08,1035524.99,322285.27,7702714.07,0,0,0,0,9,136,0,9,82,0,2,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
88,uswa-metro-wealth,5,7,3,6/29/22,5/28/19,0,0,0,96220.11,493537.09,0,766214.94,0,19778.24,0,363626.47,0,0,33196.75,0,4,29,0,3,40,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,uswa-emerging-wealth,5,30,7,7/8/22,7/8/22,1,2,2,16671.93,920950.655,26459.53,0,0,0,405920.865,0,0,0,0,1,6,126,5,7,85,1,5,49,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
90,uswa-core-wealth,6,23,10,5/3/22,1/0/00,0,0,0,141290.625,116681.44,0,0,0,0,1903.44,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,uswa-core-wealth,2,7,7,7/5/22,10/30/20,0,0,1,83979.73,73406.5,0,13341,625330,390693,0,1350064,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,uswa-core-wealth,8,14,12,6/29/22,6/7/22,4,1,1,364894.06,1543814.9,4641.67,125160,1330530.7,140538,1145415.61,942401,0,0,0,0,2,22,0,0,8,0,0,1,0,0,0,0,0,0,0,0,8,0,0,2,2,0,9
93,uswa-core-wealth,1,7,2,2/24/22,6/10/20,0,0,1,27606.82,57618.97,0,370619,386906,2825,0,286797,1438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,uswa-emerging-wealth,20,26,33,7/1/22,1/8/18,0,0,0,0,329698.1077,44251.6536,2598153.24,1645401.12,264005.68,131211.6343,780902.27,0,0,4607.03,0,1,9,5,12,79,5,11,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,uswa-emerging-wealth,20,29,26,7/1/22,3/31/20,0,0,1,11715.83163,12868.80955,356.88,1134,95093,0,411.542175,1333648,0,0,0,0,0,14,0,0,19,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,uswa-emerging-wealth,4,1,5,6/13/22,10/20/20,0,0,3,0,0,0,1995265.15,92504.6,0,0,55059.26,0,0,10295.04,0,0,49,0,0,19,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
